mode,world,psi,psi_padded,step,loss,ref_loss,abs_loss_delta,comm_bytes_per_rank_per_step,n_collectives_per_step,peak_bytes_per_rank,state_bytes_per_rank,param_bytes,grad_bytes,opt_bytes,act_bytes,transient_bytes,pad_bytes_sent_per_step,opt_elementwise_ops,wall_s_total
ZeRO-1,32,269821,271360,12,6.3368068039,6.3368068039,0.000e+00,2103040,14,3768068,2272640,1085440,1119360,67840,1495428,0,11926,84800,10.338
ZeRO-1,32,269821,271360,13,6.3348602057,6.3348602057,0.000e+00,2103040,14,3768068,2272640,1085440,1119360,67840,1495428,0,11926,84800,10.338
ZeRO-1,32,269821,271360,14,6.3057230711,6.3057230711,0.000e+00,2103040,14,3768068,2272640,1085440,1119360,67840,1495428,0,11926,84800,10.338
ZeRO-1,32,269821,271360,15,6.2914181352,6.2914181352,0.000e+00,2103040,14,3768068,2272640,1085440,1119360,67840,1495428,0,11926,84800,10.338
ZeRO-1,32,269821,271360,16,6.3299736679,6.3299736679,0.000e+00,2103040,14,3768068,2272640,1085440,1119360,67840,1495428,0,11926,84800,10.338
ZeRO-1,32,269821,271360,17,6.3222145587,6.3222145587,0.000e+00,2103040,14,3768068,2272640,1085440,1119360,67840,1495428,0,11926,84800,10.338
ZeRO-1,32,269821,271360,18,6.2799342275,6.2799342275,0.000e+00,2103040,14,3768068,2272640,1085440,1119360,67840,1495428,0,11926,84800,10.338
ZeRO-1,32,269821,271360,19,6.3163371384,6.3163371384,0.000e+00,2103040,14,3768068,2272640,1085440,1119360,67840,1495428,0,11926,84800,10.338
ZeRO-2,32,269821,271360,0,6.7187647372,6.7187647372,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,1,6.7572411448,6.7572411448,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,2,6.5418387502,6.5418387502,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,3,6.5504043847,6.5504043847,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,4,6.5351178199,6.5351178199,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,5,6.4664579630,6.4664579630,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,6,6.4487928748,6.4487928748,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,7,6.3906484395,6.3906484395,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,8,6.3925690800,6.3925690800,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,9,6.3896444887,6.3896444887,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,10,6.3938508332,6.3938508332,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,11,6.3978841603,6.3978841603,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,12,6.3368068039,6.3368068039,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,13,6.3348602057,6.3348602057,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,14,6.3057230711,6.3057230711,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,15,6.2914181352,6.2914181352,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,16,6.3299736679,6.3299736679,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,17,6.3222145587,6.3222145587,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,18,6.2799342275,6.2799342275,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-2,32,269821,271360,19,6.3163371384,6.3163371384,0.000e+00,2103040,14,2682628,1187200,1085440,33920,67840,1495428,200704,11926,84800,9.625
ZeRO-3,32,269821,271360,0,6.7187647372,6.7187647372,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,1,6.7572411448,6.7572411448,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,2,6.5418387502,6.5418387502,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,3,6.5504043847,6.5504043847,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,4,6.5351178199,6.5351178199,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,5,6.4664579630,6.4664579630,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,6,6.4487928748,6.4487928748,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,7,6.3906484395,6.3906484395,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,8,6.3925690800,6.3925690800,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,9,6.3896444887,6.3896444887,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,10,6.3938508332,6.3938508332,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,11,6.3978841603,6.3978841603,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,12,6.3368068039,6.3368068039,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,13,6.3348602057,6.3348602057,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,14,6.3057230711,6.3057230711,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,15,6.2914181352,6.2914181352,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,16,6.3299736679,6.3299736679,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,17,6.3222145587,6.3222145587,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,18,6.2799342275,6.2799342275,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
ZeRO-3,32,269821,271360,19,6.3163371384,6.3163371384,0.000e+00,3154560,21,1750656,135680,33920,33920,67840,1495428,401408,17889,84800,13.234
